epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7633,3.43489,8.15153,1.58356,0.31208,0.22612,0.16249,0.05482,2.76435,4.48912,1.32761,0.000327869,0.000327869,0.000327869
2,28.4175,2.72753,2.74031,1.22747,0.48339,0.31716,0.28875,0.10937,2.69413,2.94545,1.24059,0.000654656,0.000654656,0.000654656
3,42.8444,2.65014,2.44286,1.20005,0.41045,0.19621,0.18258,0.06127,3.23721,3.89102,1.43642,0.000974844,0.000974844,0.000974844
4,56.0817,2.60944,2.30661,1.1899,0.53242,0.36546,0.32368,0.11398,2.5739,2.33468,1.19878,0.0009703,0.0009703,0.0009703
5,70.494,2.55676,2.16342,1.15977,0.52783,0.35644,0.33195,0.12732,2.56937,2.71505,1.20803,0.0009604,0.0009604,0.0009604
6,84.9141,2.5197,2.04922,1.15531,0.69352,0.3998,0.40343,0.15227,2.52419,2.04494,1.16947,0.0009505,0.0009505,0.0009505
7,100.153,2.50186,2.03934,1.12579,0.63663,0.34791,0.33591,0.12122,2.6317,2.27208,1.18429,0.0009406,0.0009406,0.0009406
8,113.489,2.4465,1.95943,1.12984,0.67356,0.35091,0.36711,0.14648,2.49998,2.29666,1.15552,0.0009307,0.0009307,0.0009307
9,126.765,2.42886,1.87387,1.12675,0.49629,0.35292,0.30862,0.11618,2.51158,2.095,1.16101,0.0009208,0.0009208,0.0009208
10,140.079,2.41109,1.87046,1.12885,0.80065,0.40339,0.4381,0.16081,2.458,1.8762,1.13658,0.0009109,0.0009109,0.0009109
11,154.76,2.29538,1.66314,1.08355,0.76952,0.40103,0.43559,0.15876,2.50371,1.79749,1.13476,0.000901,0.000901,0.000901
12,168.033,2.34231,1.7503,1.09601,0.79612,0.44247,0.46592,0.20306,2.33688,1.72731,1.11416,0.0008911,0.0008911,0.0008911
13,182.453,2.33746,1.71291,1.10124,0.65497,0.30808,0.31359,0.13067,2.43168,2.05596,1.12185,0.0008812,0.0008812,0.0008812
14,195.725,2.2679,1.69055,1.08546,0.80034,0.41032,0.46074,0.19664,2.32708,1.74928,1.09846,0.0008713,0.0008713,0.0008713
15,209.056,2.24524,1.65907,1.07326,0.77886,0.4329,0.46695,0.20499,2.2779,1.62927,1.09923,0.0008614,0.0008614,0.0008614
16,223.43,2.19654,1.54061,1.06081,0.85177,0.46202,0.49897,0.21876,2.24401,1.51845,1.07179,0.0008515,0.0008515,0.0008515
17,237.8,2.27971,1.5895,1.06921,0.72796,0.39246,0.40126,0.12892,2.67588,1.79984,1.1554,0.0008416,0.0008416,0.0008416
18,251.111,2.22438,1.54708,1.0584,0.73225,0.42202,0.41505,0.15337,2.40971,1.76016,1.10629,0.0008317,0.0008317,0.0008317
19,264.466,2.24422,1.61778,1.06571,0.7403,0.39521,0.40147,0.13918,2.55034,1.76742,1.11944,0.0008218,0.0008218,0.0008218
20,277.788,2.16815,1.52937,1.04394,0.84424,0.47471,0.50573,0.21356,2.23435,1.49364,1.07182,0.0008119,0.0008119,0.0008119
21,291.097,2.15479,1.47792,1.04885,0.8065,0.43553,0.48188,0.20369,2.30057,1.6239,1.07809,0.000802,0.000802,0.000802
22,304.41,2.15058,1.47699,1.04668,0.85202,0.46079,0.50546,0.21838,2.20901,1.51998,1.0537,0.0007921,0.0007921,0.0007921
23,318.776,2.12874,1.42388,1.04516,0.85404,0.47991,0.50854,0.23773,2.15963,1.45788,1.04809,0.0007822,0.0007822,0.0007822
24,333.246,2.15404,1.45432,1.04437,0.71488,0.34435,0.3798,0.17693,2.27196,1.82168,1.07514,0.0007723,0.0007723,0.0007723
25,346.598,2.08492,1.44945,1.03115,0.81895,0.4499,0.48487,0.21739,2.1585,1.55914,1.05224,0.0007624,0.0007624,0.0007624
26,359.896,2.06498,1.41212,1.02245,0.80082,0.44986,0.48447,0.2008,2.27261,1.49649,1.06655,0.0007525,0.0007525,0.0007525
27,373.24,2.10595,1.44148,1.02207,0.87112,0.46866,0.51606,0.22492,2.19011,1.50059,1.05647,0.0007426,0.0007426,0.0007426
28,386.536,2.09879,1.43641,1.03208,0.85332,0.47238,0.52327,0.22988,2.16927,1.46398,1.04172,0.0007327,0.0007327,0.0007327
29,399.823,2.03078,1.3494,1.02147,0.85237,0.46904,0.5234,0.22156,2.22358,1.40818,1.04989,0.0007228,0.0007228,0.0007228
30,413.091,2.09268,1.39967,1.02866,0.89587,0.47926,0.53954,0.24188,2.15786,1.38287,1.03918,0.0007129,0.0007129,0.0007129
31,427.553,2.04759,1.37045,1.01604,0.85082,0.48362,0.51177,0.22982,2.15106,1.45404,1.04684,0.000703,0.000703,0.000703
32,440.819,2.02356,1.36965,1.01949,0.85325,0.4863,0.54437,0.25351,2.10128,1.38891,1.03123,0.0006931,0.0006931,0.0006931
33,455.203,2.04267,1.38827,1.0191,0.8482,0.48824,0.52175,0.2166,2.22903,1.36833,1.05193,0.0006832,0.0006832,0.0006832
34,468.491,2.05379,1.36721,1.011,0.83264,0.46993,0.52806,0.23177,2.19577,1.40531,1.03999,0.0006733,0.0006733,0.0006733
35,481.817,2.00768,1.32503,1.01605,0.86894,0.4884,0.53385,0.24157,2.11498,1.38062,1.02819,0.0006634,0.0006634,0.0006634
36,495.144,2.0103,1.35181,1.00632,0.86369,0.48615,0.53854,0.24513,2.08717,1.34639,1.01765,0.0006535,0.0006535,0.0006535
37,508.462,1.96508,1.30789,1.00028,0.90715,0.49553,0.55509,0.26558,2.02052,1.32026,1.0167,0.0006436,0.0006436,0.0006436
38,522.829,1.96572,1.28451,0.9913,0.87934,0.50402,0.55506,0.25647,2.05767,1.34541,1.01522,0.0006337,0.0006337,0.0006337
39,536.176,1.97407,1.28055,1.00595,0.8828,0.4915,0.54687,0.24998,2.0737,1.36213,1.0227,0.0006238,0.0006238,0.0006238
40,549.444,1.97218,1.29886,0.99864,0.90413,0.48057,0.53921,0.25855,2.04771,1.37027,1.012,0.0006139,0.0006139,0.0006139
41,562.72,1.94225,1.2754,0.99195,0.91377,0.48644,0.54798,0.25095,2.06877,1.30603,1.01713,0.000604,0.000604,0.000604
42,576.043,1.94563,1.26252,0.97546,0.89135,0.4805,0.52572,0.22798,2.10972,1.35007,1.02513,0.0005941,0.0005941,0.0005941
43,589.334,1.92335,1.27369,0.98646,0.91642,0.50156,0.57035,0.27743,1.97956,1.25332,1.00922,0.0005842,0.0005842,0.0005842
44,603.723,1.90197,1.21335,0.98192,0.89144,0.48747,0.55861,0.25951,2.03549,1.30804,1.01569,0.0005743,0.0005743,0.0005743
45,616.984,1.92307,1.25751,0.9917,0.88281,0.48783,0.55553,0.26567,2.02766,1.26559,1.00777,0.0005644,0.0005644,0.0005644
46,630.298,1.90379,1.22984,0.99768,0.91874,0.48987,0.55676,0.26807,1.97701,1.31337,0.99976,0.0005545,0.0005545,0.0005545
47,643.66,1.86489,1.2091,0.97613,0.91644,0.50215,0.57764,0.28337,1.96847,1.24612,0.99855,0.0005446,0.0005446,0.0005446
48,658.386,1.92543,1.24994,0.98611,0.88996,0.49475,0.56303,0.26331,2.01589,1.31961,1.00528,0.0005347,0.0005347,0.0005347
49,671.694,1.91429,1.21731,0.97153,0.90435,0.48218,0.53435,0.24174,2.06179,1.30537,1.00959,0.0005248,0.0005248,0.0005248
50,684.979,1.83758,1.17023,0.96663,0.91577,0.49482,0.57176,0.27511,1.99043,1.26069,0.99723,0.0005149,0.0005149,0.0005149
51,698.314,1.87718,1.20698,0.97169,0.91472,0.49444,0.57499,0.27412,2.00228,1.26137,0.99764,0.000505,0.000505,0.000505
52,711.643,1.85314,1.21573,0.97286,0.91175,0.49359,0.55682,0.26829,2.02527,1.26572,1.0034,0.0004951,0.0004951,0.0004951
53,724.927,1.85343,1.19444,0.96984,0.89205,0.50053,0.55786,0.26218,2.0608,1.30806,1.01849,0.0004852,0.0004852,0.0004852
54,738.222,1.83082,1.17601,0.973,0.91769,0.50887,0.58012,0.2744,2.0269,1.26064,1.00272,0.0004753,0.0004753,0.0004753
55,751.541,1.83081,1.18765,0.96696,0.90141,0.50452,0.57822,0.2748,1.9969,1.20346,1.00084,0.0004654,0.0004654,0.0004654
56,764.801,1.8011,1.11058,0.95894,0.91355,0.49731,0.57882,0.2651,2.04849,1.24946,1.00489,0.0004555,0.0004555,0.0004555
57,778.073,1.81232,1.16293,0.96296,0.90071,0.50854,0.58363,0.2749,2.0097,1.26236,1.00426,0.0004456,0.0004456,0.0004456
58,791.376,1.80704,1.17215,0.95845,0.86644,0.4907,0.56705,0.2682,2.03314,1.25994,1.00311,0.0004357,0.0004357,0.0004357
59,804.73,1.78492,1.12258,0.96135,0.92334,0.47857,0.55982,0.26232,2.06458,1.29531,1.01005,0.0004258,0.0004258,0.0004258
60,818.024,1.81129,1.12824,0.95768,0.94114,0.5011,0.59396,0.28833,1.96414,1.23192,0.99651,0.0004159,0.0004159,0.0004159
61,832.428,1.80035,1.13538,0.9597,0.9128,0.4959,0.57599,0.27164,2.04704,1.27564,1.001,0.000406,0.000406,0.000406
62,845.706,1.73249,1.11033,0.95075,0.9022,0.51366,0.59007,0.27713,2.03854,1.21655,1.01024,0.0003961,0.0003961,0.0003961
63,859.016,1.76005,1.10395,0.96245,0.90173,0.51077,0.59653,0.28212,1.97443,1.21975,0.99622,0.0003862,0.0003862,0.0003862
64,872.3,1.77996,1.11254,0.95697,0.91312,0.50639,0.59176,0.26795,2.01272,1.22586,0.99966,0.0003763,0.0003763,0.0003763
65,885.554,1.76495,1.13905,0.94491,0.90887,0.51284,0.59941,0.28362,1.97647,1.21862,0.99766,0.0003664,0.0003664,0.0003664
66,898.834,1.75955,1.09616,0.95022,0.90396,0.51139,0.58974,0.2646,2.04447,1.23115,1.00424,0.0003565,0.0003565,0.0003565
67,912.181,1.72549,1.10736,0.94863,0.91595,0.4832,0.58861,0.27712,2.00333,1.22711,0.99649,0.0003466,0.0003466,0.0003466
68,925.418,1.74007,1.0905,0.94287,0.91762,0.50567,0.60828,0.2935,1.967,1.21457,0.99337,0.0003367,0.0003367,0.0003367
69,939.763,1.69691,1.06242,0.93998,0.91217,0.5174,0.58969,0.284,1.98514,1.17851,0.9983,0.0003268,0.0003268,0.0003268
70,953.056,1.67241,1.04378,0.93802,0.92077,0.51113,0.61066,0.29527,1.94541,1.1697,0.98476,0.0003169,0.0003169,0.0003169
71,967.487,1.67785,1.05297,0.93927,0.92772,0.5094,0.60923,0.28556,1.9651,1.19156,0.99242,0.000307,0.000307,0.000307
72,980.756,1.71931,1.07394,0.94327,0.87811,0.49602,0.59984,0.28905,1.96794,1.21201,0.98919,0.0002971,0.0002971,0.0002971
73,994.092,1.73872,1.08753,0.9555,0.90111,0.51895,0.60635,0.29586,1.93803,1.19317,0.9889,0.0002872,0.0002872,0.0002872
74,1008.51,1.64024,1.02282,0.93101,0.91736,0.51151,0.61091,0.30143,1.92397,1.1789,0.98185,0.0002773,0.0002773,0.0002773
75,1022.93,1.66889,1.03875,0.94008,0.90857,0.51334,0.60429,0.29172,1.97145,1.19467,0.99445,0.0002674,0.0002674,0.0002674
76,1036.2,1.68393,1.06085,0.93935,0.86536,0.49819,0.59543,0.29195,1.9591,1.23466,0.98656,0.0002575,0.0002575,0.0002575
77,1049.48,1.65487,1.02943,0.93631,0.94032,0.51161,0.60836,0.29382,1.9459,1.1674,0.99019,0.0002476,0.0002476,0.0002476
78,1062.75,1.61212,1.00418,0.92799,0.91567,0.51967,0.61426,0.29774,1.94413,1.1759,0.98779,0.0002377,0.0002377,0.0002377
79,1076.06,1.63817,1.0075,0.92204,0.92351,0.50989,0.60837,0.2951,1.94433,1.15748,0.98843,0.0002278,0.0002278,0.0002278
80,1089.31,1.64037,1.0291,0.93512,0.89592,0.51284,0.61401,0.29497,1.95554,1.17147,0.98891,0.0002179,0.0002179,0.0002179
81,1102.61,1.65289,1.05546,0.92969,0.88045,0.52958,0.6146,0.29237,1.96274,1.14695,0.99206,0.000208,0.000208,0.000208
82,1115.9,1.62425,1.01954,0.92949,0.91568,0.505,0.61101,0.29658,1.94241,1.17928,0.98769,0.0001981,0.0001981,0.0001981
83,1129.27,1.56572,0.9667,0.92453,0.89582,0.51651,0.62154,0.30323,1.92274,1.15561,0.9842,0.0001882,0.0001882,0.0001882
84,1143.7,1.63681,1.01008,0.92425,0.88864,0.51633,0.61816,0.29993,1.94955,1.1548,0.98987,0.0001783,0.0001783,0.0001783
85,1156.99,1.59683,0.99793,0.91881,0.90503,0.53072,0.63747,0.30564,1.91849,1.14021,0.98169,0.0001684,0.0001684,0.0001684
86,1172.74,1.57777,0.96347,0.9222,0.89944,0.52125,0.62159,0.29188,1.97529,1.15226,0.9945,0.0001585,0.0001585,0.0001585
87,1187.57,1.61621,0.99167,0.92759,0.90811,0.51682,0.6314,0.30765,1.92036,1.14332,0.98103,0.0001486,0.0001486,0.0001486
88,1205.21,1.57021,0.99703,0.92525,0.89988,0.51434,0.62201,0.3015,1.92767,1.1391,0.98515,0.0001387,0.0001387,0.0001387
89,1218.45,1.57867,0.96981,0.91324,0.90612,0.52168,0.62719,0.30526,1.92884,1.13376,0.98458,0.0001288,0.0001288,0.0001288
90,1231.76,1.55493,0.95719,0.91455,0.9084,0.52009,0.62993,0.30383,1.9356,1.14277,0.98569,0.0001189,0.0001189,0.0001189
91,1245.75,1.52196,0.91411,0.93096,0.90706,0.51601,0.63322,0.30276,1.94555,1.15294,0.98541,0.000109,0.000109,0.000109
