               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.088148,            0.015069,            0.019251,             0.36042,             0.25573,             0.18504,            0.050149,            0.082642,            0.014459,            0.014166,           0.0097011,           0.0097011,           0.0097011
                  37,            0.087232,            0.016207,            0.018881,             0.42535,             0.33587,             0.25052,            0.074741,            0.077329,            0.013279,            0.013258,            0.009684,            0.009684,            0.009684
                  38,            0.087344,            0.016239,            0.020003,             0.45057,             0.34977,             0.27529,            0.084691,             0.07908,            0.013664,            0.012417,           0.0096664,           0.0096664,           0.0096664
                  39,            0.084299,            0.015521,            0.017819,             0.41002,             0.37282,             0.30439,             0.10417,            0.078775,            0.013441,            0.011987,           0.0096484,           0.0096484,           0.0096484
                  40,            0.084822,            0.014958,            0.016996,             0.49211,             0.33442,             0.29508,             0.10254,            0.075528,            0.013252,             0.01222,           0.0096299,           0.0096299,           0.0096299
                  41,            0.083664,            0.015028,            0.016964,             0.58331,             0.38347,             0.35717,             0.12151,            0.073895,            0.012641,            0.012038,            0.009611,            0.009611,            0.009611
                  42,            0.083159,            0.015027,            0.017574,             0.41316,             0.32068,              0.2606,            0.092619,            0.078525,            0.014148,            0.013087,           0.0095916,           0.0095916,           0.0095916
                  43,            0.082829,            0.015026,            0.016818,             0.61302,             0.31938,             0.34255,             0.12175,            0.076312,            0.013594,            0.014017,           0.0095717,           0.0095717,           0.0095717
                  44,             0.08059,            0.014568,            0.016049,             0.58372,             0.39399,              0.3669,             0.13849,            0.076455,            0.012518,            0.012512,           0.0095514,           0.0095514,           0.0095514
                  45,            0.082421,             0.01513,             0.01614,             0.68241,              0.3532,             0.36329,              0.1318,            0.073846,            0.012539,             0.01125,           0.0095307,           0.0095307,           0.0095307
                  46,            0.082168,            0.014668,            0.016533,             0.62277,             0.39003,             0.39219,             0.14622,            0.072281,            0.012536,            0.010765,           0.0095095,           0.0095095,           0.0095095
