epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1302.59,2.05889,1.35516,1.00752,0.85923,0.50223,0.54175,0.23359,2.15743,1.39472,1.04943,0.00091882,0.00091882,0.00091882
43,1332.28,1.98927,1.33584,1.01049,0.87814,0.4716,0.53786,0.22003,2.20097,1.44602,1.05419,0.00091684,0.00091684,0.00091684
44,1362.08,1.97637,1.29841,1.01483,0.84458,0.46741,0.52309,0.23005,2.12386,1.47757,1.04111,0.00091486,0.00091486,0.00091486
45,1391.69,2.01021,1.33374,1.01624,0.8964,0.50067,0.56613,0.26812,2.07416,1.34844,1.03011,0.00091288,0.00091288,0.00091288
46,1424.93,1.98603,1.30748,1.0234,0.90749,0.50271,0.57463,0.27134,2.03011,1.31486,1.02275,0.0009109,0.0009109,0.0009109
47,1457.87,1.94047,1.29524,0.99805,0.90804,0.48571,0.55226,0.25003,2.12457,1.38142,1.03497,0.00090892,0.00090892,0.00090892
48,1487.59,1.9714,1.33013,1.00819,0.91231,0.50292,0.56513,0.26498,2.0475,1.3229,1.02396,0.00090694,0.00090694,0.00090694
49,1517.21,2.00524,1.30454,1.00303,0.88808,0.50325,0.5638,0.26334,2.05585,1.3476,1.02923,0.00090496,0.00090496,0.00090496
50,1546.82,1.94131,1.24801,0.99192,0.80807,0.46928,0.53162,0.25775,2.02861,1.38196,1.02292,0.00090298,0.00090298,0.00090298
51,1576.5,1.95455,1.28855,0.99282,0.94245,0.48916,0.55851,0.24675,2.08303,1.38152,1.02392,0.000901,0.000901,0.000901
52,1606.17,1.93635,1.27847,0.99935,0.93417,0.49011,0.56376,0.26152,2.07088,1.35914,1.0197,0.00089902,0.00089902,0.00089902
53,1635.8,1.95646,1.29559,0.99634,0.7945,0.45425,0.52605,0.25592,2.08471,1.4349,1.03115,0.00089704,0.00089704,0.00089704
54,1665.54,1.92057,1.24645,1.00267,0.89179,0.48306,0.54818,0.23847,2.112,1.36663,1.03393,0.00089506,0.00089506,0.00089506
55,1695.18,1.91412,1.27451,0.98968,0.91229,0.50264,0.54817,0.25655,2.0404,1.31376,1.02292,0.00089308,0.00089308,0.00089308
56,1724.78,1.90107,1.20849,0.98343,0.83017,0.46198,0.5171,0.21678,2.23032,1.3968,1.0488,0.0008911,0.0008911,0.0008911
57,1754.39,1.90941,1.26409,0.98975,0.88633,0.50409,0.57481,0.25628,2.11433,1.30579,1.03055,0.00088912,0.00088912,0.00088912
58,1784.49,1.89384,1.25369,0.98602,0.90383,0.51234,0.58453,0.27295,2.04662,1.32147,1.01591,0.00088714,0.00088714,0.00088714
59,1817.47,1.87386,1.22336,0.98214,0.90456,0.50417,0.56144,0.2366,2.157,1.32282,1.03754,0.00088516,0.00088516,0.00088516
60,1847.07,1.90304,1.2129,0.98377,0.88202,0.50815,0.57407,0.26943,2.01783,1.27539,1.01453,0.00088318,0.00088318,0.00088318
61,1876.68,1.905,1.25692,0.98669,0.90065,0.49316,0.57444,0.26572,2.05152,1.28798,1.01356,0.0008812,0.0008812,0.0008812
62,1906.54,1.83672,1.2084,0.97658,0.9365,0.4858,0.57836,0.26824,2.03874,1.32246,1.01915,0.00087922,0.00087922,0.00087922
63,1936.23,1.86139,1.18829,0.98767,0.9088,0.50545,0.58193,0.27332,2.03166,1.29393,1.02064,0.00087724,0.00087724,0.00087724
64,1969.5,1.88427,1.22323,0.98288,0.90338,0.50352,0.56509,0.24341,2.12706,1.29395,1.03113,0.00087526,0.00087526,0.00087526
65,1999.1,1.89995,1.26303,0.97522,0.908,0.51698,0.58822,0.27555,2.03541,1.28082,1.01751,0.00087328,0.00087328,0.00087328
66,2031.85,1.88182,1.19641,0.98019,0.94019,0.49393,0.58812,0.26957,2.02649,1.27623,1.01028,0.0008713,0.0008713,0.0008713
67,2061.58,1.85367,1.20598,0.97412,0.89358,0.47779,0.5626,0.26409,2.05056,1.3172,1.01243,0.00086932,0.00086932,0.00086932
68,2091.31,1.87347,1.19525,0.97253,0.93237,0.50726,0.59283,0.29335,1.95246,1.22061,0.99783,0.00086734,0.00086734,0.00086734
69,2124.21,1.81522,1.18484,0.96606,0.93692,0.52091,0.5848,0.28119,1.9966,1.25564,1.00966,0.00086536,0.00086536,0.00086536
70,2153.84,1.8091,1.1613,0.96964,0.91203,0.50972,0.5793,0.25779,2.06771,1.27858,1.02034,0.00086338,0.00086338,0.00086338
71,2183.51,1.82866,1.17649,0.97692,0.91436,0.51106,0.59479,0.29364,1.92893,1.20685,0.99229,0.0008614,0.0008614,0.0008614
72,2216.18,1.84054,1.19539,0.97342,0.94746,0.48275,0.56957,0.27341,2.0254,1.27308,1.01132,0.00085942,0.00085942,0.00085942
73,2245.82,1.86179,1.19758,0.98644,0.93486,0.51696,0.60823,0.28736,2.00242,1.22285,1.00694,0.00085744,0.00085744,0.00085744
74,2275.44,1.77816,1.14333,0.96058,0.8866,0.49839,0.58697,0.28731,1.95534,1.27197,0.99577,0.00085546,0.00085546,0.00085546
75,2305.22,1.83475,1.1661,0.97023,0.8727,0.50256,0.56006,0.24366,2.05727,1.27209,1.01574,0.00085348,0.00085348,0.00085348
76,2334.84,1.81103,1.17261,0.97042,0.91084,0.51642,0.60072,0.2876,1.97755,1.21954,1.00204,0.0008515,0.0008515,0.0008515
77,2364.47,1.7924,1.15238,0.96492,0.92523,0.5205,0.60427,0.29029,1.96145,1.19139,0.99299,0.00084952,0.00084952,0.00084952
78,2394.08,1.76664,1.12623,0.95793,0.9066,0.50841,0.58362,0.2739,2.00575,1.26141,1.0001,0.00084754,0.00084754,0.00084754
79,2423.73,1.80704,1.14603,0.9553,0.90225,0.51113,0.59558,0.29446,1.91782,1.20073,0.99024,0.00084556,0.00084556,0.00084556
80,2456.47,1.76607,1.14019,0.96387,0.86417,0.46723,0.55936,0.24875,2.09252,1.3314,1.0179,0.00084358,0.00084358,0.00084358
81,2486.1,1.80021,1.17506,0.96091,0.90246,0.51896,0.58379,0.27967,1.98455,1.22286,1.0053,0.0008416,0.0008416,0.0008416
82,2515.71,1.786,1.15223,0.95922,0.9112,0.50809,0.59791,0.28599,1.97728,1.22437,1.00263,0.00083962,0.00083962,0.00083962
83,2545.36,1.72797,1.08671,0.95767,0.91472,0.50797,0.60443,0.27931,1.98975,1.23001,1.00058,0.00083764,0.00083764,0.00083764
84,2575.41,1.78081,1.13643,0.95287,0.92091,0.52849,0.58649,0.28796,1.93774,1.21238,0.99128,0.00083566,0.00083566,0.00083566
85,2605.11,1.78117,1.13064,0.95594,0.93272,0.52323,0.61064,0.29608,1.95454,1.22537,0.99299,0.00083368,0.00083368,0.00083368
86,2637.95,1.75278,1.09269,0.95806,0.90668,0.50987,0.60328,0.26974,2.05658,1.24551,1.00968,0.0008317,0.0008317,0.0008317
87,2667.61,1.76248,1.1226,0.95658,0.88717,0.52187,0.60943,0.29386,1.95327,1.19749,0.99273,0.00082972,0.00082972,0.00082972
88,2697.24,1.7375,1.13182,0.96063,0.88724,0.5061,0.59398,0.28581,1.99637,1.24687,1.00402,0.00082774,0.00082774,0.00082774
89,2726.88,1.75544,1.11489,0.94741,0.89139,0.51456,0.59988,0.28312,1.97314,1.19028,1.00399,0.00082576,0.00082576,0.00082576
90,2756.51,1.73514,1.09063,0.95224,0.89468,0.51846,0.60606,0.29245,1.95818,1.21423,0.99617,0.00082378,0.00082378,0.00082378
91,2786.37,1.71758,1.09352,0.9451,0.89745,0.51558,0.59821,0.29388,1.93494,1.19664,0.99507,0.0008218,0.0008218,0.0008218
92,2816.01,1.75432,1.08182,0.95383,0.9079,0.52511,0.6051,0.26535,2.05416,1.24114,1.01215,0.00081982,0.00081982,0.00081982
93,2845.69,1.69662,1.04818,0.9409,0.91125,0.52282,0.6056,0.2866,1.97018,1.19442,1.00372,0.00081784,0.00081784,0.00081784
94,2875.34,1.7143,1.08036,0.94849,0.87353,0.5149,0.60544,0.27967,2.03909,1.22199,1.01135,0.00081586,0.00081586,0.00081586
95,2905.05,1.75015,1.11963,0.95637,0.90537,0.51779,0.60118,0.27785,2.00688,1.21889,1.0038,0.00081388,0.00081388,0.00081388
96,2934.65,1.70759,1.06687,0.94646,0.91511,0.52546,0.61539,0.29192,1.95963,1.18947,0.99262,0.0008119,0.0008119,0.0008119
97,2964.46,1.68856,1.03894,0.94566,0.94373,0.51512,0.62006,0.29995,1.93988,1.16813,0.98716,0.00080992,0.00080992,0.00080992
98,2997.55,1.68295,1.05307,0.93869,0.82274,0.49199,0.57688,0.26134,2.05166,1.32017,1.00674,0.00080794,0.00080794,0.00080794
99,3027.29,1.7725,1.12233,0.95507,0.909,0.51299,0.61342,0.29053,1.95843,1.18217,0.99628,0.00080596,0.00080596,0.00080596
100,3056.92,1.69584,1.04191,0.94775,0.88942,0.53529,0.61112,0.29253,1.95152,1.1782,0.98996,0.00080398,0.00080398,0.00080398
101,3086.49,1.67452,1.05028,0.93968,0.85775,0.51278,0.6083,0.30363,1.91278,1.18218,0.98442,0.000802,0.000802,0.000802
102,3119.39,1.77318,1.12953,0.94939,0.90928,0.53236,0.61744,0.29041,1.97404,1.17972,0.99503,0.00080002,0.00080002,0.00080002
103,3149.04,1.71229,1.06032,0.94442,0.89126,0.51982,0.61081,0.28901,1.97729,1.20219,0.99285,0.00079804,0.00079804,0.00079804
104,3178.65,1.67929,1.03924,0.93903,0.8979,0.52807,0.59055,0.27195,2.04058,1.21827,1.00956,0.00079606,0.00079606,0.00079606
105,3208.27,1.66893,1.04888,0.94232,0.92904,0.52029,0.62444,0.30605,1.93303,1.15586,0.98955,0.00079408,0.00079408,0.00079408
106,3241.45,1.7089,1.05772,0.93768,0.93352,0.52588,0.60997,0.28392,1.98291,1.18533,0.99752,0.0007921,0.0007921,0.0007921
107,3271.11,1.62143,0.99846,0.93572,0.89815,0.52637,0.62406,0.30553,1.92371,1.16977,0.98874,0.00079012,0.00079012,0.00079012
108,3300.73,1.66941,1.03125,0.94449,0.88561,0.53987,0.62411,0.30421,1.91872,1.14579,0.98928,0.00078814,0.00078814,0.00078814
109,3330.39,1.66644,1.01432,0.94298,0.91988,0.52409,0.61594,0.30203,1.9354,1.19822,0.99108,0.00078616,0.00078616,0.00078616
110,3359.97,1.66756,1.04653,0.94323,0.94673,0.52341,0.62451,0.30246,1.92269,1.14423,0.9883,0.00078418,0.00078418,0.00078418
111,3389.62,1.61746,1.00078,0.93393,0.91834,0.53318,0.63813,0.30611,1.91391,1.14202,0.98808,0.0007822,0.0007822,0.0007822
112,3422.25,1.67961,1.06265,0.94635,0.88375,0.52038,0.60808,0.28336,2.01409,1.18053,0.99939,0.00078022,0.00078022,0.00078022
113,3451.87,1.64427,1.02295,0.93553,0.93547,0.5285,0.61547,0.29057,1.95824,1.14913,0.99091,0.00077824,0.00077824,0.00077824
114,3481.5,1.64131,1.02454,0.94648,0.89601,0.54644,0.63302,0.29873,1.97275,1.17115,0.99772,0.00077626,0.00077626,0.00077626
115,3511.16,1.62005,0.97593,0.92562,0.91837,0.53016,0.62795,0.3064,1.93273,1.13924,0.99014,0.00077428,0.00077428,0.00077428
116,3540.8,1.59932,0.99137,0.92513,0.89436,0.54896,0.64577,0.30865,1.94578,1.14213,0.99744,0.0007723,0.0007723,0.0007723
117,3573.48,1.67998,1.02804,0.94228,0.89736,0.52653,0.62958,0.30019,1.94761,1.15947,0.99132,0.00077032,0.00077032,0.00077032
118,3603.11,1.60094,0.9843,0.9273,0.88165,0.54037,0.6193,0.286,1.97596,1.20563,0.99772,0.00076834,0.00076834,0.00076834
119,3632.83,1.61176,0.98775,0.92546,0.90418,0.51863,0.6245,0.29191,1.97041,1.17514,0.99376,0.00076636,0.00076636,0.00076636
120,3662.45,1.58301,0.97656,0.93236,0.8941,0.54011,0.63476,0.30875,1.89093,1.15147,0.98288,0.00076438,0.00076438,0.00076438
121,3692.07,1.56522,0.96111,0.91544,0.91556,0.53305,0.62078,0.30104,1.9256,1.15309,0.99621,0.0007624,0.0007624,0.0007624
122,3721.65,1.59765,0.99828,0.92789,0.89804,0.53145,0.62362,0.30786,1.88238,1.16962,0.98489,0.00076042,0.00076042,0.00076042
123,3751.28,1.61518,0.99984,0.94057,0.90648,0.54182,0.64315,0.31602,1.89577,1.15689,0.97767,0.00075844,0.00075844,0.00075844
124,3784.11,1.62286,1.00225,0.93749,0.90477,0.51768,0.62427,0.30801,1.92054,1.15778,0.98122,0.00075646,0.00075646,0.00075646
125,3813.73,1.63796,1.01735,0.93251,0.90098,0.54406,0.64049,0.31397,1.92038,1.14319,0.98502,0.00075448,0.00075448,0.00075448
126,3843.41,1.6087,0.96753,0.92956,0.89486,0.54113,0.63131,0.2998,1.95878,1.1403,0.99249,0.0007525,0.0007525,0.0007525
127,3873.14,1.61629,0.98424,0.92728,0.93609,0.53422,0.63356,0.30968,1.92193,1.1338,0.98144,0.00075052,0.00075052,0.00075052
128,3902.84,1.55918,0.96459,0.9173,0.92261,0.52715,0.64052,0.30932,1.93249,1.13509,0.98724,0.00074854,0.00074854,0.00074854
129,3932.47,1.55507,0.95942,0.92363,0.93299,0.52817,0.63638,0.30948,1.90822,1.13942,0.98789,0.00074656,0.00074656,0.00074656
130,3962.16,1.5938,0.97656,0.92383,0.90418,0.53164,0.63076,0.31095,1.91942,1.14348,0.99092,0.00074458,0.00074458,0.00074458
131,3991.87,1.58827,0.97613,0.92991,0.91917,0.5423,0.64715,0.31163,1.93179,1.1365,0.98217,0.0007426,0.0007426,0.0007426
132,4021.52,1.59361,0.96935,0.91463,0.89737,0.53419,0.61792,0.29327,1.98233,1.18518,0.99726,0.00074062,0.00074062,0.00074062
133,4051.17,1.58562,0.9678,0.92946,0.89872,0.54677,0.65254,0.31777,1.90592,1.12375,0.98346,0.00073864,0.00073864,0.00073864
134,4084.02,1.58291,0.97208,0.92345,0.89691,0.53791,0.64555,0.30947,1.92916,1.15254,0.98635,0.00073666,0.00073666,0.00073666
135,4113.7,1.59509,0.97069,0.9241,0.88815,0.54532,0.63602,0.30186,1.953,1.1451,0.99367,0.00073468,0.00073468,0.00073468
136,4143.38,1.57184,0.9622,0.92388,0.8826,0.54401,0.61957,0.29961,1.94382,1.16398,0.99273,0.0007327,0.0007327,0.0007327
137,4173.04,1.5318,0.92586,0.91159,0.92475,0.54139,0.65132,0.30839,1.94092,1.1246,0.99296,0.00073072,0.00073072,0.00073072
138,4202.68,1.55219,0.93218,0.91941,0.88047,0.55199,0.65139,0.31896,1.90277,1.12663,0.98218,0.00072874,0.00072874,0.00072874
139,4236.14,1.55155,0.93266,0.92074,0.88142,0.5663,0.64671,0.30856,1.93714,1.12605,0.98971,0.00072676,0.00072676,0.00072676
140,4265.75,1.56341,0.92725,0.92139,0.92341,0.5332,0.65188,0.3163,1.90901,1.13093,0.97896,0.00072478,0.00072478,0.00072478
141,4295.36,1.60492,0.97714,0.92322,0.85572,0.57251,0.66495,0.32314,1.89102,1.10572,0.97619,0.0007228,0.0007228,0.0007228
142,4328.05,1.56362,0.93627,0.92133,0.8995,0.5481,0.66477,0.32937,1.86997,1.09655,0.97706,0.00072082,0.00072082,0.00072082
143,4360.82,1.52986,0.91541,0.92134,0.89234,0.56298,0.65777,0.3198,1.92286,1.09727,0.98554,0.00071884,0.00071884,0.00071884
144,4390.42,1.4934,0.88788,0.90924,0.89139,0.55693,0.67128,0.32553,1.91176,1.08975,0.98203,0.00071686,0.00071686,0.00071686
145,4420.06,1.49322,0.89865,0.91699,0.88093,0.57255,0.66431,0.32636,1.90529,1.11125,0.98274,0.00071488,0.00071488,0.00071488
146,4449.7,1.51969,0.91727,0.91706,0.8987,0.57127,0.6672,0.32971,1.88689,1.07599,0.98177,0.0007129,0.0007129,0.0007129
147,4482.41,1.51902,0.90501,0.9148,0.86858,0.56398,0.66626,0.32401,1.89737,1.11802,0.97947,0.00071092,0.00071092,0.00071092
148,4512.07,1.50539,0.91769,0.91123,0.90233,0.55235,0.66707,0.32854,1.88651,1.09413,0.97563,0.00070894,0.00070894,0.00070894
149,4541.72,1.52493,0.90063,0.91365,0.90749,0.55112,0.66029,0.31326,1.94299,1.07018,0.98977,0.00070696,0.00070696,0.00070696
150,4571.37,1.5108,0.88246,0.90169,0.8857,0.57368,0.67474,0.32475,1.89628,1.06462,0.98311,0.00070498,0.00070498,0.00070498
151,4601.07,1.49525,0.87606,0.90539,0.88018,0.58334,0.68522,0.33597,1.88295,1.05389,0.98144,0.000703,0.000703,0.000703
152,4634.37,1.48844,0.88103,0.90419,0.91655,0.56483,0.66949,0.32602,1.88867,1.05472,0.9767,0.00070102,0.00070102,0.00070102
153,4664.22,1.47175,0.86499,0.90247,0.89545,0.56044,0.64274,0.30532,1.9681,1.12147,0.99415,0.00069904,0.00069904,0.00069904
154,4693.85,1.50737,0.88467,0.90714,0.89466,0.58078,0.6819,0.3305,1.91413,1.06649,0.98541,0.00069706,0.00069706,0.00069706
155,4723.56,1.4757,0.84349,0.90225,0.87527,0.57138,0.66436,0.31791,1.93391,1.07724,0.98985,0.00069508,0.00069508,0.00069508
156,4753.28,1.48855,0.87146,0.91012,0.87309,0.58497,0.69384,0.33753,1.89961,1.05715,0.98147,0.0006931,0.0006931,0.0006931
157,4785.99,1.47349,0.86542,0.90567,0.88256,0.58157,0.68337,0.33229,1.8888,1.0657,0.98393,0.00069112,0.00069112,0.00069112
158,4815.64,1.46343,0.84814,0.89783,0.9121,0.5774,0.68569,0.33981,1.85221,1.03973,0.97836,0.00068914,0.00068914,0.00068914
159,4848.6,1.48414,0.8623,0.90712,0.89192,0.57424,0.67655,0.32859,1.91361,1.05324,0.98727,0.00068716,0.00068716,0.00068716
160,4878.24,1.43831,0.82676,0.89824,0.876,0.58768,0.69353,0.34437,1.87084,1.04538,0.9822,0.00068518,0.00068518,0.00068518
161,4911.02,1.45962,0.85641,0.90592,0.9076,0.57865,0.68309,0.33095,1.90694,1.07927,0.98224,0.0006832,0.0006832,0.0006832
162,4940.67,1.48313,0.8532,0.90421,0.90165,0.58362,0.69765,0.33817,1.88572,1.04567,0.97947,0.00068122,0.00068122,0.00068122
