               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.090571,            0.026178,            0.041291,            0.082864,             0.13146,            0.054479,            0.013152,            0.076669,             0.02146,            0.036611,           0.0027756,           0.0027756,            0.074076
                  36,             0.09005,            0.026375,            0.039019,            0.068289,             0.17391,            0.073482,            0.019221,            0.075113,            0.020997,            0.035821,           0.0028475,           0.0028475,            0.073347
                  37,            0.090721,            0.025618,            0.038153,             0.11217,             0.16914,            0.074568,             0.01908,            0.075574,            0.018066,            0.035037,           0.0029188,           0.0029188,            0.072619
                  38,            0.088136,             0.02605,            0.037763,            0.097001,             0.18473,            0.074398,            0.019788,            0.073184,            0.019749,            0.037109,           0.0029897,           0.0029897,             0.07189
                  39,            0.088313,            0.025113,            0.038435,             0.11621,             0.18116,             0.08448,            0.022372,            0.073679,            0.018718,            0.035325,           0.0030601,           0.0030601,             0.07116
                  40,            0.090069,            0.026157,            0.039173,             0.15004,             0.17482,            0.081303,            0.019499,            0.073627,            0.019275,             0.03407,           0.0031301,           0.0031301,             0.07043
                  41,            0.088016,            0.025013,            0.038794,             0.14128,              0.1908,            0.081461,            0.018851,            0.072251,            0.018778,            0.032054,           0.0031995,           0.0031995,            0.069699
                  42,            0.088468,             0.02537,            0.036355,             0.12587,             0.20251,             0.07871,            0.019932,            0.074732,            0.017964,            0.031966,           0.0032684,           0.0032684,            0.068968
                  43,            0.088776,            0.025928,            0.035648,              0.1335,             0.21925,            0.073102,            0.014473,            0.076349,            0.018058,            0.033431,           0.0033368,           0.0033368,            0.068237
                  44,            0.092014,             0.02416,            0.035293,             0.12747,             0.22832,            0.092267,            0.023886,             0.07185,            0.018095,             0.03215,           0.0034047,           0.0034047,            0.067505
                  45,            0.089133,            0.025875,            0.035787,             0.13816,             0.19729,            0.093236,            0.022851,            0.075056,             0.02044,            0.031707,            0.003472,            0.003472,            0.066772
                  46,            0.089084,             0.02565,             0.03398,             0.17898,             0.20595,             0.10379,            0.025204,            0.074657,            0.019693,            0.030615,           0.0035388,           0.0035388,            0.066039
                  47,            0.086032,            0.025948,            0.034642,             0.12588,              0.2227,             0.06458,            0.012682,            0.071893,            0.018981,            0.031311,            0.003605,            0.003605,            0.065305
                  48,            0.087136,            0.024564,             0.03448,             0.16409,             0.27923,             0.12396,            0.029274,            0.070333,            0.018623,            0.031495,           0.0036706,           0.0036706,            0.064571
                  49,            0.085876,            0.024226,            0.033209,             0.18617,             0.15553,             0.11183,            0.029257,            0.072845,            0.017726,            0.029347,           0.0037356,           0.0037356,            0.063836
                  50,            0.086097,            0.024004,            0.031222,             0.17107,              0.2716,             0.12014,            0.027126,            0.071192,            0.017945,            0.029292,           0.0038001,           0.0038001,              0.0631
                  51,              0.0837,            0.023842,            0.033808,             0.18692,             0.25691,             0.14041,            0.035472,            0.070727,            0.017243,            0.029463,           0.0038639,           0.0038639,            0.062364
                  52,            0.085245,            0.025085,            0.031084,             0.22131,             0.29478,             0.15921,            0.039947,            0.068698,              0.0179,            0.032555,           0.0039272,           0.0039272,            0.061627
                  53,             0.08445,            0.024024,            0.028703,              0.1865,             0.30148,             0.17148,            0.053578,            0.067902,            0.017236,            0.029377,           0.0039898,           0.0039898,             0.06089
                  54,            0.085026,            0.024186,            0.029917,             0.25307,             0.27747,             0.16935,            0.049788,            0.068482,            0.017331,            0.028574,           0.0040517,           0.0040517,            0.060152
                  55,            0.085291,            0.023619,            0.031597,             0.17616,             0.25261,             0.15131,            0.037171,            0.071547,            0.018313,            0.028488,            0.004113,            0.004113,            0.059413
                  56,            0.084794,            0.022941,            0.031064,             0.26082,             0.27467,             0.21034,            0.067142,             0.06718,            0.017378,            0.029055,           0.0041737,           0.0041737,            0.058674
                  57,            0.084015,            0.023614,            0.029537,             0.16872,             0.28193,             0.14878,            0.039133,            0.067378,            0.017223,            0.028953,           0.0042337,           0.0042337,            0.057934
                  58,            0.083947,            0.022973,            0.028105,             0.26196,             0.25033,             0.15762,            0.039736,             0.06844,            0.017401,            0.028388,            0.004293,            0.004293,            0.057193
                  59,            0.082673,            0.023427,              0.0299,             0.35587,             0.26357,             0.21054,            0.066217,            0.067414,            0.017594,            0.027897,           0.0043517,           0.0043517,            0.056452
                  60,            0.083331,            0.022728,            0.027943,             0.25516,             0.24453,             0.14869,            0.039377,            0.068566,            0.017946,            0.028359,           0.0044096,           0.0044096,             0.05571
                  61,            0.083226,            0.023293,             0.02878,             0.26685,             0.28337,             0.18341,            0.046187,            0.068382,            0.017246,            0.029418,           0.0044669,           0.0044669,            0.054967
                  62,            0.081669,            0.023613,            0.027199,             0.27782,             0.29831,             0.20139,            0.060758,            0.065546,            0.017109,            0.031209,           0.0045234,           0.0045234,            0.054223
                  63,            0.081362,            0.022594,            0.024619,             0.28558,              0.2965,              0.2082,            0.061415,            0.067621,            0.017349,             0.02892,           0.0045792,           0.0045792,            0.053479
                  64,            0.082017,            0.022458,            0.026183,             0.32617,             0.22311,             0.15394,            0.046172,            0.068917,            0.018438,            0.032898,           0.0046343,           0.0046343,            0.052734
                  65,            0.079062,            0.022724,            0.026379,             0.29989,             0.32573,             0.22148,            0.065877,            0.066339,            0.017151,            0.026174,           0.0046887,           0.0046887,            0.051989
                  66,             0.08204,            0.023028,            0.025905,             0.38051,             0.27507,             0.22341,            0.071236,            0.068185,            0.018232,            0.028883,           0.0047423,           0.0047423,            0.051242
                  67,            0.083113,            0.023218,             0.02684,             0.30717,             0.35353,             0.25619,            0.077756,            0.067116,            0.016816,            0.026847,           0.0047951,           0.0047951,            0.050495
                  68,            0.081552,            0.022105,            0.022207,             0.39985,             0.34131,             0.27186,            0.081274,            0.067052,            0.017499,            0.024274,           0.0048472,           0.0048472,            0.049747
                  69,             0.08063,            0.022412,            0.024837,             0.36984,              0.3691,             0.28161,            0.090586,            0.066077,            0.016547,             0.02516,           0.0048985,           0.0048985,            0.048999
                  70,            0.081224,            0.023155,            0.024437,             0.38875,             0.33451,             0.26678,            0.080977,            0.066042,              0.0165,            0.023906,           0.0049491,           0.0049491,            0.048249
                  71,            0.079367,            0.022262,            0.023875,             0.34097,              0.3247,             0.24204,            0.077169,            0.065956,            0.017391,            0.022279,           0.0049989,           0.0049989,            0.047499
                  72,            0.081501,            0.022506,              0.0228,             0.28203,             0.26728,             0.19731,            0.060987,            0.066597,            0.018408,            0.026302,           0.0050478,           0.0050478,            0.046748
                  73,            0.081452,            0.022644,            0.023863,             0.32886,             0.23279,              0.1923,            0.058765,            0.068983,            0.019384,            0.025821,            0.005096,            0.005096,            0.045996
                  74,            0.081228,            0.021966,            0.023187,             0.33977,             0.16764,             0.13266,            0.036399,             0.07619,            0.020312,            0.023986,           0.0051434,           0.0051434,            0.045243
                  75,            0.081937,             0.02195,            0.022571,             0.40249,             0.30289,             0.24422,            0.062855,            0.068734,            0.017271,            0.024537,             0.00519,             0.00519,             0.04449
                  76,            0.080123,             0.02209,            0.021233,             0.45464,              0.3485,             0.27378,            0.084713,            0.067675,            0.016234,            0.021948,           0.0052357,           0.0052357,            0.043736
                  77,            0.081567,            0.021555,            0.023147,             0.47959,             0.33996,             0.28323,            0.088776,            0.067255,            0.016468,            0.020521,           0.0052806,           0.0052806,            0.042981
                  78,            0.076887,             0.02181,            0.019796,             0.52506,              0.3199,             0.28174,             0.07563,            0.066921,            0.015884,            0.021567,           0.0053247,           0.0053247,            0.042225
                  79,            0.080753,            0.022313,             0.02001,              0.2019,              0.2276,             0.13043,            0.027942,            0.073054,            0.019112,            0.026058,           0.0053679,           0.0053679,            0.041468
                  80,            0.079923,            0.022071,            0.021053,             0.50783,             0.32945,             0.28755,            0.086573,            0.066499,            0.018078,            0.023175,           0.0054103,           0.0054103,             0.04071
                  81,            0.081813,            0.021987,            0.019951,             0.35273,             0.27543,              0.2047,            0.047338,            0.068627,            0.017424,             0.02638,           0.0054519,           0.0054519,            0.039952
                  82,            0.080232,            0.022511,            0.020667,             0.33872,             0.29662,             0.23089,            0.072429,            0.067408,            0.019617,            0.024322,           0.0054926,           0.0054926,            0.039193
                  83,            0.078788,            0.021893,             0.02042,             0.46429,             0.29277,             0.25214,            0.085608,            0.067331,            0.019029,            0.031431,           0.0055324,           0.0055324,            0.038432
                  84,            0.078799,            0.022254,            0.020587,               0.338,             0.23722,             0.16484,            0.049769,            0.072105,            0.018252,             0.03315,           0.0055714,           0.0055714,            0.037671
