epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4867,3.61942,10.1572,1.68068,0.39098,0.01207,0.01375,0.00425,3.04373,93.983,1.37381,0.000327869,0.000327869,0.000327869
2,19.9699,2.90431,3.31756,1.28115,0.37567,0.27374,0.241,0.09024,2.76823,3.0209,1.24478,0.000654656,0.000654656,0.000654656
3,29.1081,2.69431,2.69708,1.20607,0.3797,0.28978,0.22775,0.0846,2.72888,2.60277,1.28809,0.000974844,0.000974844,0.000974844
4,37.6731,2.68477,2.48951,1.20721,0.50059,0.27625,0.25123,0.08811,2.50054,2.14123,1.17143,0.0009703,0.0009703,0.0009703
5,46.2514,2.59964,2.29049,1.17412,0.60417,0.35214,0.33889,0.13401,2.5638,2.27207,1.22772,0.0009604,0.0009604,0.0009604
6,55.439,2.5513,2.15362,1.16181,0.6229,0.35957,0.35484,0.14807,2.48998,2.3876,1.15048,0.0009505,0.0009505,0.0009505
7,64.5683,2.534,2.10381,1.13331,0.67876,0.3643,0.3669,0.13695,2.62301,2.0408,1.18821,0.0009406,0.0009406,0.0009406
8,73.3412,2.46882,2.04735,1.14131,0.75602,0.40744,0.41769,0.16652,2.42223,1.86402,1.13889,0.0009307,0.0009307,0.0009307
9,82.6552,2.39852,1.904,1.11508,0.70065,0.41523,0.4236,0.16077,2.47667,1.89109,1.14246,0.0009208,0.0009208,0.0009208
10,90.9381,2.43558,1.9232,1.12233,0.75603,0.4145,0.42274,0.17724,2.36003,1.90188,1.10956,0.0009109,0.0009109,0.0009109
11,98.5346,2.32055,1.75675,1.08281,0.82707,0.43021,0.45992,0.17512,2.44143,1.7943,1.12404,0.000901,0.000901,0.000901
12,105.977,2.36079,1.81035,1.08998,0.80826,0.4339,0.46758,0.20114,2.40222,1.7556,1.13319,0.0008911,0.0008911,0.0008911
13,113.432,2.33895,1.7631,1.09565,0.85919,0.43455,0.47237,0.20439,2.29652,1.72342,1.09989,0.0008812,0.0008812,0.0008812
14,120.884,2.302,1.7315,1.08782,0.86565,0.45788,0.49831,0.22375,2.28018,1.62194,1.09319,0.0008713,0.0008713,0.0008713
15,128.32,2.27121,1.69198,1.07259,0.79689,0.44559,0.46613,0.20286,2.27731,1.66985,1.09729,0.0008614,0.0008614,0.0008614
16,135.236,2.23644,1.62578,1.06755,0.84337,0.42995,0.46806,0.21156,2.24895,1.69031,1.07265,0.0008515,0.0008515,0.0008515
17,142.118,2.25217,1.63628,1.06336,0.64682,0.32102,0.35752,0.14451,2.54059,2.08408,1.13442,0.0008416,0.0008416,0.0008416
18,149.043,2.2231,1.59739,1.05386,0.81875,0.38316,0.42691,0.14906,2.52338,1.73068,1.12775,0.0008317,0.0008317,0.0008317
19,156.005,2.26048,1.67123,1.06592,0.84786,0.44306,0.49274,0.21731,2.21325,1.59721,1.05564,0.0008218,0.0008218,0.0008218
20,162.911,2.18456,1.54652,1.04574,0.83105,0.46926,0.5087,0.22721,2.20255,1.5334,1.06124,0.0008119,0.0008119,0.0008119
21,170.314,2.16595,1.5124,1.04411,0.78849,0.42281,0.46676,0.20291,2.27284,1.72092,1.06526,0.000802,0.000802,0.000802
22,177.175,2.14685,1.51861,1.03645,0.84692,0.44481,0.48995,0.21436,2.22872,1.53351,1.04401,0.0007921,0.0007921,0.0007921
23,184.093,2.12397,1.4659,1.03989,0.81809,0.45051,0.50707,0.23003,2.14382,1.48019,1.03497,0.0007822,0.0007822,0.0007822
24,191.537,2.1703,1.52322,1.0428,0.59471,0.31484,0.34616,0.14324,2.41602,1.89284,1.10781,0.0007723,0.0007723,0.0007723
25,198.468,2.11994,1.49036,1.03362,0.85514,0.43926,0.48611,0.2206,2.17596,1.58094,1.04538,0.0007624,0.0007624,0.0007624
26,205.36,2.11108,1.46753,1.02841,0.84567,0.46261,0.50804,0.22837,2.17143,1.52044,1.04458,0.0007525,0.0007525,0.0007525
27,212.232,2.12111,1.48446,1.02177,0.91467,0.47339,0.54288,0.24119,2.13399,1.448,1.03601,0.0007426,0.0007426,0.0007426
28,220.059,2.10335,1.4731,1.02828,0.84039,0.45538,0.50133,0.21794,2.2041,1.50073,1.05671,0.0007327,0.0007327,0.0007327
29,226.982,2.04324,1.38004,1.02028,0.90117,0.48124,0.5226,0.23733,2.15073,1.4526,1.04896,0.0007228,0.0007228,0.0007228
30,233.865,2.10756,1.47497,1.02627,0.89996,0.47064,0.52726,0.23971,2.13445,1.43544,1.03914,0.0007129,0.0007129,0.0007129
31,240.789,2.08025,1.41979,1.02141,0.84783,0.47397,0.52412,0.23221,2.13568,1.42987,1.03784,0.000703,0.000703,0.000703
32,247.665,2.03315,1.40189,1.01863,0.8558,0.48549,0.54542,0.25432,2.0786,1.39749,1.02718,0.0006931,0.0006931,0.0006931
33,255.303,2.05556,1.42537,1.01442,0.7975,0.43004,0.48356,0.21364,2.24759,1.58918,1.05894,0.0006832,0.0006832,0.0006832
34,262.228,2.0772,1.43338,1.01563,0.87406,0.47574,0.52976,0.24093,2.11632,1.37754,1.03223,0.0006733,0.0006733,0.0006733
35,269.185,2.01025,1.36308,1.01669,0.8633,0.46574,0.53906,0.25064,2.11671,1.42304,1.03395,0.0006634,0.0006634,0.0006634
36,276.099,2.03046,1.38863,1.00887,0.91509,0.46654,0.53953,0.25244,2.08726,1.38792,1.02986,0.0006535,0.0006535,0.0006535
37,283.035,1.9857,1.34608,1.00102,0.84678,0.47307,0.53803,0.25119,2.07986,1.36302,1.01574,0.0006436,0.0006436,0.0006436
38,289.894,1.99052,1.34409,0.99736,0.87449,0.49003,0.54561,0.25305,2.09494,1.37981,1.02679,0.0006337,0.0006337,0.0006337
39,296.863,1.98678,1.31782,1.00027,0.90228,0.48159,0.54938,0.255,2.0495,1.32917,1.01127,0.0006238,0.0006238,0.0006238
40,304.284,1.99191,1.33542,0.99541,0.88041,0.46917,0.54664,0.2535,2.05603,1.44209,1.01759,0.0006139,0.0006139,0.0006139
41,311.221,1.97393,1.32081,0.99743,0.87376,0.48058,0.53499,0.22992,2.1778,1.37866,1.03289,0.000604,0.000604,0.000604
42,318.118,1.96798,1.30878,0.97393,0.91219,0.47526,0.54629,0.24184,2.10224,1.37018,1.02232,0.0005941,0.0005941,0.0005941
43,325.033,1.97603,1.32168,0.99316,0.88195,0.47752,0.55222,0.25336,2.09513,1.40364,1.0244,0.0005842,0.0005842,0.0005842
44,331.952,1.91754,1.24597,0.98822,0.84188,0.47763,0.51759,0.23927,2.10322,1.4378,1.02873,0.0005743,0.0005743,0.0005743
45,338.861,1.9485,1.29801,0.99133,0.92025,0.48499,0.56021,0.25755,2.06445,1.29734,1.01613,0.0005644,0.0005644,0.0005644
46,346.311,1.91506,1.28504,0.99836,0.86065,0.48547,0.54741,0.25783,2.05343,1.3514,1.0161,0.0005545,0.0005545,0.0005545
