               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.082434,             0.02368,            0.027166,             0.34951,             0.31084,             0.22016,            0.069848,            0.078003,            0.018744,            0.025775,           0.0053407,           0.0053407,            0.046241
                  37,            0.081806,            0.023726,            0.026627,             0.31724,             0.26926,             0.18776,             0.04965,            0.078413,            0.021172,            0.024529,           0.0054691,           0.0054691,            0.044769
                  38,            0.085617,            0.023765,            0.028366,             0.33809,             0.30182,             0.19499,            0.052838,            0.078497,            0.019568,             0.02426,           0.0055966,           0.0055966,            0.043297
                  39,            0.085079,             0.02265,             0.02486,             0.26178,              0.2532,             0.16203,            0.036487,            0.079476,            0.019758,            0.023035,           0.0057232,           0.0057232,            0.041823
                  40,            0.079333,            0.023204,            0.022458,             0.43196,             0.33425,             0.26629,            0.084055,            0.076193,            0.017554,            0.022376,            0.005849,            0.005849,            0.040349
                  41,            0.084585,            0.022753,            0.023173,             0.41608,             0.37609,             0.29714,             0.10324,             0.07307,            0.017313,            0.021999,           0.0059739,           0.0059739,            0.038874
                  42,            0.080267,            0.022321,            0.023877,             0.40532,              0.2949,             0.24365,            0.076594,            0.075119,            0.017992,            0.021744,            0.006098,            0.006098,            0.037398
                  43,            0.084499,            0.023796,              0.0251,              0.2282,             0.24076,             0.13913,            0.035942,            0.079107,            0.021015,            0.033371,           0.0062212,           0.0062212,            0.035921
                  44,            0.082565,            0.023071,            0.023102,             0.29435,             0.19253,             0.14267,            0.031974,            0.082895,            0.018389,            0.021847,           0.0063436,           0.0063436,            0.034444
                  45,            0.084905,            0.024293,            0.023171,             0.33629,              0.2708,             0.17724,             0.04175,            0.079228,            0.020717,            0.019819,           0.0064651,           0.0064651,            0.032965
                  46,            0.082129,            0.025147,            0.025124,             0.23413,             0.14062,             0.08636,            0.019006,            0.083347,            0.024499,            0.034722,           0.0065857,           0.0065857,            0.031486
                  47,             0.08498,             0.02357,            0.024982,             0.40638,             0.24236,             0.19356,            0.060221,            0.079287,            0.022325,            0.023219,           0.0067055,           0.0067055,            0.030005
                  48,            0.082448,            0.024712,            0.022311,             0.15581,             0.15191,            0.054353,           0.0095849,            0.096049,            0.015722,            0.020676,           0.0068244,           0.0068244,            0.028524
                  49,             0.08544,            0.022958,            0.022662,             0.22271,             0.11349,            0.074286,            0.016157,            0.091838,            0.017543,            0.024241,           0.0069425,           0.0069425,            0.027042
                  50,            0.079243,             0.02275,            0.022685,             0.48295,             0.26358,             0.24136,            0.062162,            0.076494,            0.020294,            0.019252,           0.0070597,           0.0070597,             0.02556
                  51,            0.081514,             0.02288,            0.019477,             0.54549,              0.3366,             0.32116,             0.09515,            0.075891,            0.018727,            0.019917,           0.0071761,           0.0071761,            0.024076
                  52,            0.080068,            0.023349,            0.019134,             0.53616,             0.32152,             0.31132,             0.10638,            0.073929,             0.01823,             0.01928,           0.0072916,           0.0072916,            0.022592
                  53,            0.080734,            0.021456,            0.017426,             0.48003,             0.35945,             0.28731,            0.089075,            0.077351,            0.018012,             0.01649,           0.0074062,           0.0074062,            0.021106
                  54,            0.079132,             0.02214,            0.016299,             0.42349,              0.3271,             0.24128,            0.059105,            0.074848,            0.016969,            0.017041,             0.00752,             0.00752,             0.01962
                  55,            0.079289,            0.021356,            0.017237,             0.49135,             0.32689,             0.28493,            0.082033,            0.075807,            0.017101,            0.016671,           0.0076329,           0.0076329,            0.018133
                  56,            0.078479,            0.022806,            0.016416,              0.6078,             0.36974,              0.3576,             0.12122,            0.073874,            0.017432,            0.013183,            0.007745,            0.007745,            0.016645
                  57,            0.079023,             0.02123,            0.014634,             0.50591,             0.37216,             0.31529,             0.10249,             0.07573,            0.017153,            0.010622,           0.0078562,           0.0078562,            0.015156
                  58,            0.080149,            0.022093,             0.01525,             0.53295,             0.38156,             0.34406,             0.11701,            0.070335,            0.017801,            0.013624,           0.0079666,           0.0079666,            0.013667
                  59,            0.077357,              0.0219,            0.014108,              0.6166,             0.39997,             0.38856,             0.12652,            0.071038,            0.016959,            0.011414,           0.0080761,           0.0080761,            0.012176
                  60,            0.076552,             0.02237,            0.016548,             0.46156,             0.37374,             0.31566,              0.1028,            0.073275,            0.017385,            0.014173,           0.0081848,           0.0081848,            0.010685
                  61,            0.078614,            0.022262,            0.014511,             0.43778,             0.36352,             0.30591,            0.092898,            0.074708,            0.022378,             0.02564,           0.0082926,           0.0082926,           0.0091926
